StreetNameAndWay,SalePrice
ACTON ST,88482.0
ADAMS ST,29917.466666666667
ADELAIDE ST,95369.5
AFFLECK ST,150000.0
AIRPORT RD,325000.0
ALBANY AVE,1074055.9411764706
ALDEN ST,75954.15384615384
ALLEN DR,204900.0
ALLEN PL,168000.44444444444
ALLENDALE RD,12142.857142857143
ALLYN ST,3904250.0
AMHERST ST,112750.14285714286
AMITY ST,104255.61111111111
ANDOVER ST,98250.0
ANN UCCELLO ST,216666.66666666666
ANNAWAN ST,86302.8
ANSONIA ST,56590.5
ARBOR ST,230000.0
ARLINGTON ST,125106.25
ARNOLD ST,130566.83333333333
ASHFORD ST,53000.4
ASHLEY ST,134000.125
ASHTON ST,180000.0
ASYLUM AVE,1193552.6315789474
ATWOOD ST,12923.666666666666
AUBURN ST,95500.0
BABCOCK ST,123657.8947368421
BALDWIN ST,36750.0
BALTIC ST,9688.75
BALTIMORE ST,240000.0
BANNISTER ST,104816.66666666667
BARBOUR ST,94621.45454545454
BARKER ST,45000.375
BARNARD ST,24583.333333333332
BARTHOLOMEW AVE,183752.75
BATES ST,101000.25
BATTLES ST,1.0
BEACON ST,168850.1
BEDFORD ST,479161.1666666667
BELDEN ST,7325000.0
BELLEVUE ST,48731.78947368421
BELMONT ST,8000000.0
BELRIDGE ST,94033.33333333333
BENNETT CIR,85000.0
BENTON ST,4248571.028846154
BLISS ST,92580.0
BLOOMFIELD AVE,133063.57142857142
BLUE HILLS AVE,197989.67647058822
BODWELL ST,37500.0
BOLTON ST,391000.0
BOND ST,151961.6923076923
BONNER ST,60351.705882352944
BOOTHBAY ST,57333.333333333336
BRAINARD RD,3105000.0
BRANFORD ST,72545.45454545454
BRINLEY AVE,29666.666666666668
BRISTOL ST,67900.0
BROAD ST,337750.6615384615
BROADVIEW TER,94290.53333333334
BROOK ST,806168.4565217391
BROOKFIELD ST,57696.0
BROWN ST,99917.20833333333
BROWNELL AVE,208960.2
BRUNSWICK ST,0.0
BUCKINGHAM ST,0.0
BURLINGTON ST,48333.333333333336
BURNHAM ST,40941.82352941176
BURTON ST,69666.83333333333
BUSHNELL ST,69266.77777777778
CABOT ST,123334.11111111111
CAMPFIELD AVE,118507.73076923077
CANTERBURY ST,119722.33333333333
CAPEN ST,131120.66666666666
CAPITOL AVE,196253.16666666666
CARMEL ST,75000.0
CASE ST,23070.0
CATHERINE ST,161980.0
CEDAR ST,0.3333333333333333
CENTER ST,6624666.666666667
CHADWICK AVE,94777.5
CHANDLER ST,0.0
CHAPIN PL,37732.333333333336
CHAPMAN ST,242000.0
CHARLOTTE ST,12842.545454545454
CHARTER OAK PL,174262.5625
CHATHAM ST,61285.71428571428
CHESHIRE ST,123133.66666666667
CHESTER ST,76100.125
CHESTNUT ST,227000.0
CHURCH ST,3904250.0
CLARENDON ST,177000.0
CLARK ST,146937.5
CLAY ST,0.0
CLERMONT ST,71333.66666666667
CLEVELAND AVE,200439.2857142857
CLIFFORD ST,308333.3333333333
COLBY ST,90857.14285714286
COLEBROOK ST,73281.90909090909
COLEMAN DR,220000.0
COLLINS ST,3349117.117117117
COLONIAL ST,332420.0
COLUMBIA ST,235000.0
COLUMBUS BLVD,16800000.0
CONGRESS ST,619426.8947368421
COOLIDGE ST,84002.0
CORNELL ST,67500.0
CORNWALL ST,69376.23809523809
COVENTRY ST,0.0
COWLES ST,92409.27272727272
CROMWELL ST,71668.33333333333
CROWN ST,136450.25
CUMBERLAND ST,141166.66666666666
CURCOMBE ST,106000.0
CURTISS ST,151285.7142857143
DART ST,57348.0
DEAN ST,82145.5
DEERFIELD AVE,52000.25
DEXTER ST,167500.0
DOROTHY ST,45025.0
DOUGLAS ST,106536.75
