SaleDate,SalePrice
01/02/2019,9
01/02/2020,6
01/03/2019,8
01/03/2020,3
01/04/2019,8
01/06/2020,5
01/07/2019,6
01/07/2020,4
01/08/2019,1
01/08/2020,3
01/09/2019,5
01/09/2020,10
01/10/2019,2
01/10/2020,6
01/11/2019,7
02/01/2019,7
02/03/2020,16
02/04/2019,6
02/04/2020,9
02/05/2019,12
02/05/2020,2
02/06/2019,6
02/06/2020,3
02/07/2019,3
02/07/2020,11
02/08/2019,12
02/10/2020,8
02/11/2019,8
02/11/2020,8
03/01/2019,7
03/02/2020,10
03/03/2020,8
03/04/2019,11
03/04/2020,3
03/05/2019,9
03/05/2020,8
03/06/2019,15
03/06/2020,10
03/07/2019,10
03/08/2019,7
03/09/2020,10
03/10/2020,8
03/11/2019,47
03/11/2020,8
03/12/2019,6
03/12/2020,5
04/01/2019,9
04/01/2020,2
04/02/2019,7
04/02/2020,6
04/03/2019,6
04/03/2020,4
04/04/2019,8
04/05/2019,5
04/07/2020,10
04/08/2019,6
04/09/2019,4
04/09/2020,50
04/10/2019,6
04/11/2019,3
04/12/2019,7
05/01/2019,9
05/01/2020,1
05/02/2019,5
05/03/2019,2
05/05/2020,13
05/06/2019,9
05/07/2019,5
05/07/2020,5
05/08/2019,7
05/09/2019,2
05/10/2019,7
05/11/2020,6
05/12/2020,10
06/02/2020,17
06/03/2019,9
06/04/2019,5
06/04/2020,5
06/05/2019,8
06/06/2019,4
06/07/2019,8
06/09/2020,17
06/10/2019,14
06/10/2020,2
06/11/2019,5
06/11/2020,5
06/12/2019,16
06/12/2020,11
07/01/2019,13
07/01/2020,7
07/02/2019,10
07/02/2020,3
07/03/2019,7
07/05/2019,3
07/06/2020,15
07/07/2020,14
07/08/2019,16
07/08/2020,10
07/09/2019,4
07/09/2020,4
07/10/2019,7
07/10/2020,8
07/12/2019,9
08/01/2019,9
08/02/2019,6
08/03/2020,31
08/04/2020,3
08/05/2019,12
08/05/2020,4
08/06/2019,1
08/06/2020,5
08/07/2019,8
08/07/2020,6
08/08/2019,21
08/09/2019,11
08/10/2020,3
08/11/2020,1
08/12/2019,3
08/12/2020,3
09/03/2019,10
09/04/2018,9
09/04/2019,2
09/05/2018,9
09/05/2019,5
09/06/2018,15
09/06/2019,10
09/07/2018,6
09/09/2019,1
09/10/2018,6
09/10/2019,12
09/11/2018,7
09/11/2019,5
09/12/2018,1
09/12/2019,5
10/01/2018,6
10/01/2019,10
10/02/2018,7
10/02/2019,17
10/03/2018,4
10/03/2019,1
10/04/2018,13
10/04/2019,2
10/05/2018,9
10/07/2019,5
10/08/2019,13
10/09/2018,4
10/09/2019,8
10/10/2018,4
10/10/2019,6
10/11/2018,25
10/11/2019,17
10/12/2018,8
11/01/2018,12
11/01/2019,15
11/02/2018,11
11/04/2019,8
11/05/2018,6
11/05/2019,9
11/06/2018,9
11/06/2019,7
11/07/2018,4
11/07/2019,8
11/08/2018,4
11/08/2019,3
11/09/2018,13
11/12/2019,16
12/02/2019,10
12/03/2018,10
12/03/2019,7
12/04/2018,32
12/04/2019,2
12/05/2018,10
12/05/2019,3
12/06/2018,4
12/06/2019,2
12/07/2018,28
12/09/2019,7
12/10/2018,17
12/10/2019,7
12/11/2018,11
12/11/2019,1
12/12/2018,10
12/12/2019,3
13/01/2020,7
13/02/2019,16
13/02/2020,15
13/03/2019,11
13/03/2020,3
13/05/2019,5
13/06/2019,2
13/07/2020,5
13/08/2019,3
13/08/2020,7
13/09/2018,3
13/09/2019,10
13/11/2018,9
13/11/2019,4
13/12/2018,12
13/12/2019,5
14/01/2019,186
14/01/2020,10
14/02/2019,31
14/02/2020,6
14/03/2019,11
14/04/2020,17
14/05/2019,2
14/05/2020,22
14/06/2019,5
14/07/2020,6
14/08/2019,10
14/08/2020,3
14/09/2018,21
14/11/2018,6
14/11/2019,15
14/12/2018,10
15/01/2019,4
15/01/2020,8
15/02/2019,15
15/03/2019,11
15/04/2019,8
15/05/2019,9
15/05/2020,2
15/06/2020,3
15/07/2019,10
15/07/2020,8
15/08/2019,7
15/10/2018,10
15/10/2019,9
15/11/2018,8
15/11/2019,2
16/01/2019,6
16/01/2020,19
16/04/2019,4
16/04/2020,8
16/05/2019,6
16/06/2020,9
16/07/2019,5
16/07/2020,4
16/08/2019,8
16/09/2019,6
16/10/2018,5
16/10/2019,1
16/11/2018,11
16/12/2019,11
17/01/2019,3
17/01/2020,13
17/04/2019,4
17/05/2019,5
17/06/2019,11
17/06/2020,1
17/07/2019,9
17/07/2020,3
17/08/2020,13
17/09/2018,11
17/09/2019,8
17/10/2018,6
17/10/2019,5
17/12/2018,17
17/12/2019,389
18/01/2019,6
18/02/2020,19
18/03/2019,9
18/03/2020,7
18/04/2019,4
18/06/2019,8
18/06/2020,9
18/07/2019,1
18/08/2020,4
18/09/2018,5
18/09/2019,6
18/10/2018,6
18/10/2019,3
18/11/2019,4
18/12/2018,11
18/12/2019,10
19/02/2019,5
19/02/2020,4
19/03/2019,2
19/03/2020,9
19/05/2020,16
19/06/2019,9
19/06/2020,3
19/07/2019,4
19/08/2019,3
19/09/2018,5
19/09/2019,5
19/10/2018,6
19/11/2018,8
19/11/2019,6
19/12/2018,12
19/12/2019,5
20/02/2019,8
20/02/2020,9
20/03/2019,11
20/03/2020,9
20/05/2019,12
20/06/2019,7
20/07/2020,13
20/08/2019,6
20/09/2018,7
20/09/2019,15
20/11/2018,15
20/11/2019,3
20/12/2018,5
20/12/2019,7
21/01/2020,11
21/02/2019,4
21/02/2020,15
21/03/2019,7
21/04/2020,11
21/05/2019,10
21/05/2020,5
21/06/2019,6
21/07/2020,11
21/08/2019,7
21/08/2020,1
21/09/2018,13
21/10/2019,9
21/11/2018,11
21/12/2018,5
22/01/2019,10
22/01/2020,4
22/02/2019,6
22/03/2019,11
22/04/2019,12
22/05/2019,6
22/07/2019,8
22/07/2020,5
22/08/2019,5
22/10/2018,7
22/10/2019,6
22/11/2019,5
23/01/2019,10
23/01/2020,10
23/03/2020,2
23/04/2019,10
23/04/2020,6
23/05/2019,11
23/06/2020,8
23/07/2019,24
23/07/2020,9
23/08/2019,11
23/09/2019,7
23/10/2018,7
23/10/2019,5
23/11/2018,3
23/12/2019,12
24/01/2019,2
24/01/2020,10
24/02/2020,9
24/03/2020,2
24/04/2019,16
24/05/2019,12
24/06/2019,13
24/06/2020,4
24/07/2019,6
24/07/2020,4
24/09/2018,8
24/09/2019,4
24/10/2018,5
24/10/2019,6
24/12/2018,2
24/12/2019,5
25/01/2019,11
25/02/2019,13
25/02/2020,7
25/03/2019,8
25/03/2020,9
25/04/2019,4
25/06/2019,10
25/06/2020,6
25/07/2019,14
25/09/2018,3
25/09/2019,14
25/10/2018,8
25/10/2019,7
25/11/2019,7
26/02/2019,4
26/02/2020,5
26/03/2019,8
26/03/2020,6
26/04/2019,15
26/05/2020,1
26/06/2019,18
26/06/2020,1
26/07/2019,6
26/08/2019,9
26/09/2018,17
26/09/2019,9
26/10/2018,9
26/11/2018,4
26/11/2019,6
26/12/2018,11
26/12/2019,4
27/01/2020,11
27/02/2019,12
27/02/2020,4
27/03/2019,6
27/03/2020,7
27/06/2019,9
27/07/2020,5
27/08/2018,9
27/08/2019,8
27/09/2018,3
27/09/2019,2
27/11/2018,10
27/11/2019,18
27/12/2018,12
27/12/2019,13
28/01/2019,29
28/01/2020,3
28/02/2019,7
28/02/2020,9
28/03/2019,6
28/04/2020,13
28/05/2019,1
28/05/2020,16
28/06/2019,26
28/07/2020,7
28/08/2018,7
28/08/2019,5
28/09/2018,17
28/10/2019,11
28/11/2018,8
28/12/2018,11
29/01/2019,6
29/01/2020,11
29/03/2019,4
29/04/2019,14
29/05/2019,10
29/06/2020,6
29/07/2019,5
29/07/2020,12
29/08/2018,7
29/08/2019,3
29/10/2018,18
29/10/2019,35
29/11/2018,9
30/01/2019,10
30/01/2020,8
30/03/2020,5
